Unnamed: 0;city;area;rooms;bathroom;parking spaces;floor;animal;furniture;hoa;rent amount;property tax;fire insurance;total
0.0;1.0;240.0;3.0;3.0;4.0;-;acept;furnished;R$0;R$8,000;R$1,000;R$121;R$9,121
1.0;0.0;64.0;2.0;1.0;1.0;10;acept;not furnished;R$540;R$820;R$122;R$11;R$1,493
2.0;1.0;443.0;5.0;5.0;4.0;3;acept;furnished;R$4,172;R$7,000;R$1,417;R$89;R$12,680
3.0;1.0;73.0;2.0;2.0;1.0;12;acept;not furnished;R$700;R$1,250;R$150;R$16;R$2,116
;;;;;;;;not furnished;R$0;R$1,200;R$41;R$16;R$1,257
5.0;1.0;13.0;1.0;1.0;0.0;2;acept;not furnished;R$0;R$2,200;R$42;R$28;R$2,270
6.0;1.0;55.0;1.0;1.0;1.0;2;acept;furnished;R$1,950;R$5,000;R$375;R$64;R$7,389
7.0;1.0;55.0;2.0;2.0;1.0;2;acept;not furnished;R$600;R$1,300;R$67;R$17;R$1,984
8.0;1.0;82.0;3.0;1.0;1.0;3;acept;furnished;R$828;R$2,000;R$109;R$26;R$2,963
9.0;1.0;32.0;1.0;1.0;1.0;16;acept;not furnished;R$533;R$2,900;R$0;R$37;R$3,470
10.0;0.0;60.0;1.0;1.0;0.0;6;acept;not furnished;R$480;R$720;R$20;R$10;R$1,230
11.0;0.0;64.0;1.0;2.0;1.0;4;acept;furnished;R$406;R$1,550;R$0;R$7;R$1,963
12.0;1.0;20.0;1.0;1.0;0.0;4;acept;furnished;R$602;R$1,800;R$130;R$23;R$2,555
13.0;1.0;375.0;4.0;5.0;5.0;1;acept;not furnished;R$4,793;R$15,000;R$2,805;R$191;R$22,790
14.0;1.0;92.0;2.0;1.0;1.0;7;not acept;furnished;R$690;R$3,950;R$0;R$51;R$4,691
15.0;0.0;56.0;2.0;1.0;1.0;1;acept;not furnished;R$345;R$950;R$11;R$13;R$1,319
16.0;0.0;188.0;2.0;3.0;8.0;-;acept;not furnished;R$0;R$3,010;R$584;R$46;R$3,640
17.0;1.0;100.0;3.0;2.0;1.0;-;acept;not furnished;R$0;R$3,500;R$260;R$53;R$3,813
18.0;1.0;192.0;3.0;3.0;2.0;13;acept;not furnished;R$2,100;R$7,800;R$634;R$99;R$10,630
19.0;1.0;93.0;3.0;2.0;1.0;10;acept;not furnished;R$1,497;R$3,500;R$227;R$45;R$5,269
;;;;;;;;not furnished;R$0;R$2,650;R$233;R$40;R$2,923
21.0;1.0;80.0;2.0;2.0;0.0;9;not acept;not furnished;R$600;R$2,550;R$46;R$33;R$3,229
;;;;;;;;not furnished;R$907;R$3,500;R$0;R$45;R$4,452
23.0;1.0;320.0;3.0;3.0;4.0;-;acept;not furnished;R$0;R$9,000;R$1,000;R$136;R$10,140
24.0;1.0;180.0;3.0;5.0;3.0;3;acept;not furnished;R$2,900;R$8,100;R$0;R$103;R$11,100
25.0;1.0;31.0;1.0;1.0;1.0;4;acept;not furnished;R$272;R$3,200;R$64;R$41;R$3,577
26.0;1.0;105.0;4.0;2.0;2.0;3;acept;not furnished;R$1,659;R$6,500;R$400;R$83;R$8,642
27.0;1.0;300.0;3.0;4.0;2.0;9;acept;furnished;R$2,000;R$14,000;R$1,084;R$178;R$17,260
28.0;0.0;150.0;3.0;2.0;2.0;13;acept;not furnished;R$1,370;R$1,800;R$250;R$23;R$3,443
29.0;1.0;130.0;3.0;3.0;2.0;-;acept;not furnished;R$0;R$6,000;R$84;R$91;R$6,175
