Rooms;Distance;Bathroom;Car;Landsize;BuildingArea;Price
2;2.5;1.0;0.0;156.0;79.0;1035000.0
3;2.5;2.0;0.0;134.0;150.0;1465000.0
4;2.5;1.0;2.0;120.0;142.0;1600000.0
3;2.5;2.0;0.0;245.0;210.0;1876000.0
2;2.5;1.0;2.0;256.0;107.0;1636000.0
2;2.5;1.0;2.0;220.0;75.0;1097000.0
3;2.5;2.0;2.0;214.0;190.0;1350000.0
2;2.5;2.0;1.0;0.0;94.0;750000.0
2;2.5;1.0;2.0;238.0;97.0;1310000.0
3;2.5;2.0;1.0;113.0;110.0;1200000.0
3;2.5;1.0;1.0;138.0;105.0;1176500.0
2;2.5;1.0;1.0;150.0;73.0;890000.0
4;2.5;2.0;2.0;780.0;135.0;1330000.0
3;2.5;2.0;2.0;4290.0;27.0;1090000.0
2;2.5;1.0;1.0;0.0;60.0;500000.0
2;2.5;2.0;1.0;124.0;135.0;1100000.0
2;2.5;1.0;0.0;147.0;85.0;1315000.0
3;2.5;3.0;1.0;166.0;174.0;1447500.0
1;2.5;1.0;1.0;0.0;50.0;457000.0
2;2.5;2.0;2.0;98.0;128.0;1135000.0
3;2.5;2.0;2.0;147.0;18.0;1290000.0
3;2.5;1.0;1.0;168.0;124.0;1290000.0
1;2.5;1.0;1.0;0.0;50.0;470000.0
2;2.5;1.0;0.0;162.0;91.0;1180000.0
3;2.5;2.0;1.0;120.0;128.0;1195000.0
2;2.5;1.0;0.0;182.0;82.0;1012500.0
2;2.5;1.0;1.0;172.0;81.0;1030000.0
3;13.5;2.0;1.0;303.0;225.0;840000.0
3;13.5;2.0;1.0;0.0;145.0;730000.0
3;13.5;2.0;1.0;0.0;145.0;770000.0
2;13.5;1.0;1.0;272.0;84.0;603000.0
3;13.5;2.0;2.0;239.0;134.0;700000.0
3;13.5;1.0;1.0;290.0;116.0;600000.0
2;13.5;1.0;1.0;168.0;86.0;500000.0
4;13.5;1.0;2.0;597.0;127.0;785000.0
6;13.5;3.0;2.0;976.0;186.0;725000.0
2;13.5;1.0;1.0;110.0;90.0;450000.0
2;13.5;1.0;1.0;141.0;73.0;515000.0
2;13.5;1.0;1.0;120.0;94.0;530000.0
3;13.5;1.0;6.0;1063.0;133.0;895000.0
3;13.5;1.0;1.0;0.0;105.0;805000.0
3;13.5;1.0;1.0;265.0;130.0;752000.0
3;13.5;2.0;2.0;165.0;133.0;700000.0
3;13.5;1.0;2.0;971.0;113.0;830000.0
2;13.5;1.0;1.0;612.0;100.0;675000.0
3;13.5;2.0;5.0;612.0;174.0;1042000.0
4;13.5;3.0;4.0;531.0;309.0;773000.0
3;13.5;3.0;2.0;555.0;192.0;810000.0
